"fips","geoid","name","eviction_definition","historical_average_start_year","historical_average_end_year"
"05017","0500000US05017","Chicot County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05019","0500000US05019","Clark County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05021","0500000US05021","Clay County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05023","0500000US05023","Cleburne County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05025","0500000US05025","Cleveland County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05027","0500000US05027","Columbia County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05029","0500000US05029","Conway County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05031","0500000US05031","Craighead County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05033","0500000US05033","Crawford County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05035","0500000US05035","Crittenden County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05037","0500000US05037","Cross County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05039","0500000US05039","Dallas County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05041","0500000US05041","Desha County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05043","0500000US05043","Drew County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05045","0500000US05045","Faulkner County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05047","0500000US05047","Franklin County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05049","0500000US05049","Fulton County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05051","0500000US05051","Garland County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05053","0500000US05053","Grant County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05055","0500000US05055","Greene County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05057","0500000US05057","Hempstead County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05059","0500000US05059","Hot Spring County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05061","0500000US05061","Howard County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05063","0500000US05063","Independence County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05065","0500000US05065","Izard County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05067","0500000US05067","Jackson County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05069","0500000US05069","Jefferson County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05071","0500000US05071","Johnson County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05073","0500000US05073","Lafayette County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05075","0500000US05075","Lawrence County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05077","0500000US05077","Lee County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05079","0500000US05079","Lincoln County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05081","0500000US05081","Little River County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05083","0500000US05083","Logan County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05085","0500000US05085","Lonoke County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05087","0500000US05087","Madison County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05089","0500000US05089","Marion County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05091","0500000US05091","Miller County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05093","0500000US05093","Mississippi County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05095","0500000US05095","Monroe County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05097","0500000US05097","Montgomery County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05099","0500000US05099","Nevada County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05101","0500000US05101","Newton County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05103","0500000US05103","Ouachita County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05105","0500000US05105","Perry County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05107","0500000US05107","Phillips County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05109","0500000US05109","Pike County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05111","0500000US05111","Poinsett County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05113","0500000US05113","Polk County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05115","0500000US05115","Pope County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05117","0500000US05117","Prairie County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05119","0500000US05119","Pulaski County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05121","0500000US05121","Randolph County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05123","0500000US05123","St. Francis County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05125","0500000US05125","Saline County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05127","0500000US05127","Scott County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05129","0500000US05129","Searcy County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05131","0500000US05131","Sebastian County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05133","0500000US05133","Sevier County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05135","0500000US05135","Sharp County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05137","0500000US05137","Stone County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05139","0500000US05139","Union County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05141","0500000US05141","Van Buren County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05143","0500000US05143","Washington County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05145","0500000US05145","White County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05147","0500000US05147","Woodruff County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"05149","0500000US05149","Yell County, Arkansas","ud - landlord/tenant unlawfuldetain, uo - landlord/tenant other, ev - cv-eviction, sj - sc-eviction small claims","2016","2019"
"08001","0500000US08001","Adams County, Colorado","fed","2019","2019"
"08003","0500000US08003","Alamosa County, Colorado","fed","2019","2019"
"08005","0500000US08005","Arapahoe County, Colorado","fed","2019","2019"
"08007","0500000US08007","Archuleta County, Colorado","fed","2019","2019"
"08009","0500000US08009","Baca County, Colorado","fed","2019","2019"
"08011","0500000US08011","Bent County, Colorado","fed","2019","2019"
"08013","0500000US08013","Boulder County, Colorado","fed","2019","2019"
"08014","0500000US08014","Broomfield County, Colorado","fed","2019","2019"
"08015","0500000US08015","Chaffee County, Colorado","fed","2019","2019"
"08017","0500000US08017","Cheyenne County, Colorado","fed","2019","2019"
"08019","0500000US08019","Clear Creek County, Colorado","fed","2019","2019"
"08021","0500000US08021","Conejos County, Colorado","fed","2019","2019"
"08023","0500000US08023","Costilla County, Colorado","fed","2019","2019"
"08025","0500000US08025","Crowley County, Colorado","fed","2019","2019"
"08027","0500000US08027","Custer County, Colorado","fed","2019","2019"
"08029","0500000US08029","Delta County, Colorado","fed","2019","2019"
"08031","0500000US08031","Denver County, Colorado","fed","2019","2019"
"08033","0500000US08033","Dolores County, Colorado","fed","2019","2019"
"08035","0500000US08035","Douglas County, Colorado","fed","2019","2019"
"08037","0500000US08037","Eagle County, Colorado","fed","2019","2019"
"08039","0500000US08039","Elbert County, Colorado","fed","2019","2019"
"08041","0500000US08041","El Paso County, Colorado","fed","2019","2019"
"08043","0500000US08043","Fremont County, Colorado","fed","2019","2019"
"08045","0500000US08045","Garfield County, Colorado","fed","2019","2019"
"08047","0500000US08047","Gilpin County, Colorado","fed","2019","2019"
"08049","0500000US08049","Grand County, Colorado","fed","2019","2019"
"08051","0500000US08051","Gunnison County, Colorado","fed","2019","2019"
"08055","0500000US08055","Huerfano County, Colorado","fed","2019","2019"
"08057","0500000US08057","Jackson County, Colorado","fed","2019","2019"
"08059","0500000US08059","Jefferson County, Colorado","fed","2019","2019"
"08061","0500000US08061","Kiowa County, Colorado","fed","2019","2019"
"08063","0500000US08063","Kit Carson County, Colorado","fed","2019","2019"
"08065","0500000US08065","Lake County, Colorado","fed","2019","2019"
"08067","0500000US08067","La Plata County, Colorado","fed","2019","2019"
"08069","0500000US08069","Larimer County, Colorado","fed","2019","2019"
"08071","0500000US08071","Las Animas County, Colorado","fed","2019","2019"
"08073","0500000US08073","Lincoln County, Colorado","fed","2019","2019"
"08075","0500000US08075","Logan County, Colorado","fed","2019","2019"
"08077","0500000US08077","Mesa County, Colorado","fed","2019","2019"
"08079","0500000US08079","Mineral County, Colorado","fed","2019","2019"
"08081","0500000US08081","Moffat County, Colorado","fed","2019","2019"
"08083","0500000US08083","Montezuma County, Colorado","fed","2019","2019"
"08085","0500000US08085","Montrose County, Colorado","fed","2019","2019"
"08087","0500000US08087","Morgan County, Colorado","fed","2019","2019"
"08089","0500000US08089","Otero County, Colorado","fed","2019","2019"
"08091","0500000US08091","Ouray County, Colorado","fed","2019","2019"
"08093","0500000US08093","Park County, Colorado","fed","2019","2019"
"08095","0500000US08095","Phillips County, Colorado","fed","2019","2019"
"08097","0500000US08097","Pitkin County, Colorado","fed","2019","2019"
"08099","0500000US08099","Prowers County, Colorado","fed","2019","2019"
"08101","0500000US08101","Pueblo County, Colorado","fed","2019","2019"
"08103","0500000US08103","Rio Blanco County, Colorado","fed","2019","2019"
"08105","0500000US08105","Rio Grande County, Colorado","fed","2019","2019"
"08107","0500000US08107","Routt County, Colorado","fed","2019","2019"
"08109","0500000US08109","Saguache County, Colorado","fed","2019","2019"
"08111","0500000US08111","San Juan County, Colorado","fed","2019","2019"
"08113","0500000US08113","San Miguel County, Colorado","fed","2019","2019"
"08115","0500000US08115","Sedgwick County, Colorado","fed","2019","2019"
"08117","0500000US08117","Summit County, Colorado","fed","2019","2019"
"08119","0500000US08119","Teller County, Colorado","fed","2019","2019"
"08121","0500000US08121","Washington County, Colorado","fed","2019","2019"
"08123","0500000US08123","Weld County, Colorado","fed","2019","2019"
"08125","0500000US08125","Yuma County, Colorado","fed","2019","2019"
"09001","0500000US09001","Fairfield County, Connecticut","summary process","2017","2019"
"09003","0500000US09003","Hartford County, Connecticut","summary process","2017","2019"
"09005","0500000US09005","Litchfield County, Connecticut","summary process","2017","2019"
"09007","0500000US09007","Middlesex County, Connecticut","summary process","2017","2019"
"09009","0500000US09009","New Haven County, Connecticut","summary process","2017","2019"
"09011","0500000US09011","New London County, Connecticut","summary process","2017","2019"
"09013","0500000US09013","Tolland County, Connecticut","summary process","2017","2019"
"09015","0500000US09015","Windham County, Connecticut","summary process","2017","2019"
"10001","0500000US10001","Kent County, Delaware","61 - jp landlord tenant, my - writ of possession, ci - ejectment","2016","2019"
"10003","0500000US10003","New Castle County, Delaware","61 - jp landlord tenant, my - writ of possession, ci - ejectment","2016","2019"
"10005","0500000US10005","Sussex County, Delaware","61 - jp landlord tenant, my - writ of possession, ci - ejectment","2016","2019"
"12003","0500000US12003","Baker County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12007","0500000US12007","Bradford County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12009","0500000US12009","Brevard County, Florida","county eviction","2016","2019"
"12013","0500000US12013","Calhoun County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12021","0500000US12021","Collier County, Florida","eviction","2016","2019"
"12023","0500000US12023","Columbia County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12027","0500000US12027","DeSoto County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12029","0500000US12029","Dixie County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12031","0500000US12031","Duval County, Florida","eviction","2016","2019"
"12037","0500000US12037","Franklin County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12041","0500000US12041","Gilchrist County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12043","0500000US12043","Glades County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12045","0500000US12045","Gulf County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12047","0500000US12047","Hamilton County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12049","0500000US12049","Hardee County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12051","0500000US12051","Hendry County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12053","0500000US12053","Hernando County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12055","0500000US12055","Highlands County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12057","0500000US12057","Hillsborough County, Florida","lt (at beginning), delinquent tenant, ejectment, unlawful detainer","2016","2019"
"12059","0500000US12059","Holmes County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12063","0500000US12063","Jackson County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12065","0500000US12065","Jefferson County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12067","0500000US12067","Lafayette County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12069","0500000US12069","Lake County, Florida","eviction","2016","2019"
"12075","0500000US12075","Levy County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12077","0500000US12077","Liberty County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12079","0500000US12079","Madison County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12081","0500000US12081","Manatee County, Florida","evict","2016","2019"
"12083","0500000US12083","Marion County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12086","0500000US12086","Miami-Dade County, Florida","all evictions excluding cases explicitly identified as non-residential","2016","2019"
"12089","0500000US12089","Nassau County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12093","0500000US12093","Okeechobee County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12101","0500000US12101","Pasco County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12103","0500000US12103","Pinellas County, Florida","delinquent tenant, eviction, unlawful detainer","2016","2019"
"12107","0500000US12107","Putnam County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12113","0500000US12113","Santa Rosa County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12119","0500000US12119","Sumter County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12125","0500000US12125","Union County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12129","0500000US12129","Wakulla County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12131","0500000US12131","Walton County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"12133","0500000US12133","Washington County, Florida","eviction, unlawful detainer, removal of tenant, delinquent tenant","2016","2019"
"13021","0500000US13021","Bibb County, Georgia","dispossessory","2016","2019"
"13063","0500000US13063","Clayton County, Georgia","patho, writ of possession, dispossessory","2016","2019"
"15001","0500000US15001","Hawaii County, Hawaii","2020-2021 filing counts provided by hawaii state judiciary. monthly averages computed from annual filing counts for fy2016-2019. fy2016-2019 annual filings extracted from annual report statistical supplements.","2016","2019"
"15003","0500000US15003","Honolulu County, Hawaii","2020-2021 filing counts provided by hawaii state judiciary. monthly averages computed from annual filing counts for fy2016-2019. fy2016-2019 annual filings extracted from annual report statistical supplements.","2016","2019"
"15007","0500000US15007","Kauai County, Hawaii","2020-2021 filing counts provided by hawaii state judiciary. monthly averages computed from annual filing counts for fy2016-2019. fy2016-2019 annual filings extracted from annual report statistical supplements.","2016","2019"
"15009","0500000US15009","Maui County, Hawaii","2020-2021 filing counts provided by hawaii state judiciary. monthly averages computed from annual filing counts for fy2016-2019. fy2016-2019 annual filings extracted from annual report statistical supplements.","2016","2019"
"18001","0500000US18001","Adams County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18003","0500000US18003","Allen County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18005","0500000US18005","Bartholomew County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18007","0500000US18007","Benton County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18009","0500000US18009","Blackford County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18011","0500000US18011","Boone County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18013","0500000US18013","Brown County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18015","0500000US18015","Carroll County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18017","0500000US18017","Cass County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18019","0500000US18019","Clark County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18021","0500000US18021","Clay County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18023","0500000US18023","Clinton County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18025","0500000US18025","Crawford County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18027","0500000US18027","Daviess County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18029","0500000US18029","Dearborn County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18031","0500000US18031","Decatur County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18033","0500000US18033","DeKalb County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18035","0500000US18035","Delaware County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
"18037","0500000US18037","Dubois County, Indiana","case number includes ''ev'', any docket event referencing ''eviction'', ''possession'', or ''possessory'', event description referencing ''eviction''","2016","2019"
